Country,Date-of-Decision,Fine-Amount,Quoted-Art
AUSTRIA,2018-12-09,"4,800",Art. 13 GDPR
AUSTRIA,,2018,"Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR"
AUSTRIA,2018-09-27,300,"Art. 5 (1) a) GDPR, Art. 6 GDPR"
AUSTRIA,2018-12-20,"2,200","Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR"
BELGIUM,2019-05-28,"2,000","Art. 5 (1) b) GDPR, Art. 6 GDPR"
BULGARIA,2018-12-04,500,"Art. 5 (1) b) GDPR, Art. 6 GDPR"
BULGARIA,2019-02-26,"27,100","Art. 6 GDPR, Art. 5 (1) a) GDPR"
BULGARIA,2019-01-17,500,"Art. 6 GDPR, Art. 5 (1) a) GDPR"
BULGARIA,2019-02-22,500,Art. 15 GDPR
CYPRUS,,2019,Art. 15 GDPR
CYPRUS,,2019,Art. 6 GDPR
CZECH REPUBLIC,2019-01-10,388,Art. 6 GDPR
CZECH REPUBLIC,2019-02-04,"1,165","Art. 5 (1) a) GDPR, A person who rented a car found out that the car was tracked via GPS by the renting company even though there was no information provided on the fact that the car is being tracked. The Czech Data Protection Authority found that there was no information provided in terms of Art. 13 GDPR and that Art. 6 (1) f) GDPR could not be the legal basis under the concrete circumstances. Due to that the UOOU found that there was a violation of Art. 5 (1) a) GDPR for which it imposed the fine."
CZECH REPUBLIC,2019-02-28,582,Art. 32 GDPR
CZECH REPUBLIC,2019-02-04,"1,165",Art. 32 GDPR
CZECH REPUBLIC,2018-10-25,388,Art. 15 GDPR
CZECH REPUBLIC,2019-02-26,776,Art. 15 GDPR
CZECH REPUBLIC,2019-03-21,"10,000",Art. 5 (1) GDPR
CZECH REPUBLIC,,"3,140",Art. 6 GDPR
CZECH REPUBLIC,2019-05-06,194,Art. 15 GDPR
DENMARK,,2019,"Art. 5 (1) e) GDPR, The Danish DPA reported the taxi company to the police and recommended a fine (of 1.2M DKK) for non-adherence to the data-minimization principle. While the company deleted the names of its passengers from all its records after two years, the deletion did not include the rest of the ride records (about 8,873,333 taxi trips). Hence, the company continued to hold onto individual's phone numbers. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts."
DENMARK,2021-02-12,"13,450","Art. 5 (1) e) GDPR, Art. 5 (2) GDPR, Original summary: On June 3, 2019, the Danish DPA (Datatilsynet) reported IDdesign to the police and demanded payment of a fine in the amount of EUR 200,850 for the processing of personal data of approximately 385,000 customers for a longer period than necessary for the purposes for which they were processed.  Additionally, the company had not established and documented deadlines for deletion of personal data in their new CRM system. The deadlines set for the old system were not deleted after the deadline for the information had been reached. Also, the controller had not adequately documented its personal data deletion procedures. 



Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts. 



Update: On February 12, 2021 the Aarhus District Court decided to impose a fine against IDdesign in the amount of EUR 13,450. With regard to the calculation of the fine, the court disagreed with the proposed amount of the fine. It concluded that the amount should be calculated on the basis of the company's own turnover and not that of the entire group. In addition, the court considered that the mitigating circumstances under Art. 83 (2) GDPR should be taken into account when calculating the fine. Such as that the company had not previously breached the GDPR, as well as that the breach concerned only general personal data. In addition, no data subject suffered damages as a result of the breach. Finally, the court considers that the negligent nature of the breach should be taken into account."
FRANCE,2019-01-21,"50,000,000","Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 5 GDPR, The fine was imposed on the basis of complaints from the Austrian organisation 'None Of Your Business' and the French NGO 'La Quadrature du Net'. The complaints were filed on 25th and 28th of May 2018 - immediately after the GDPR became applicable. The complaints concerned the creation of a Google account during the configuration of a mobile phone using the Android operating system. The CNIL imposed a fine of 50 million euros for lack of transparency (Art. 5 GDPR), insufficient information (Art. 13 / 14 GDPR) and lack of legal basis (Art. 6 GDPR). The obtained consents had not been given 'specific' and not 'unambigous' (Art. 4 nr. 11 GDPR)."
FRANCE,2019-05-28,"400,000",Art. 5 (1) e) GDPR
GERMANY,2018-11-21,"20,000",Art. 32 GDPR
